Ján ,Bahýľ ,bahyl.jpg,25.05.1856,Zvolenská Slatina,13.03.1915,Bratislava,vynálezca vrtuľníka,1894,vznášacie balóny kombinované so vzdušnou turbínou
Ján ,Bahýľ ,bahyl.jpg,25.05.1856,Zvolenská Slatina,13.03.1915,Bratislava,vynálezca vrtuľníka,1895,vrtuľník poháňaný benzínovým motorom
Ján ,Bahýľ ,bahyl.jpg,25.05.1856,Zvolenská Slatina,13.03.1915,Bratislava,vynálezca vrtuľníka,1897,prvý automobil s benzínovým motorom a akumulátorom na Slovensku
Štefan ,Banič ,banic.jpg,23.11.1870,Smolenice,02.01.1941,Smolenice,vynálezca padáku,1914,padák
Jozef Karol,Hell ,hell.jpg,15.05.1713,Banská Štiavnica,11.03.1789,Banská Štiavnica,vynálezca a konštruktér banských čerpacích strojov,1738,vahadlový čerpací stroj
Jozef Karol,Hell ,hell.jpg,15.05.1713,Banská Štiavnica,11.03.1789,Banská Štiavnica,vynálezca a konštruktér banských čerpacích strojov,1749,vodostĺpcový čerpací stroj
Jozef Karol,Hell ,hell.jpg,15.05.1713,Banská Štiavnica,11.03.1789,Banská Štiavnica,vynálezca a konštruktér banských čerpacích strojov,1753,vzdušný čerpací stroj v šachte Amália
Jozef Karol,Hell ,hell.jpg,15.05.1713,Banská Štiavnica,11.03.1789,Banská Štiavnica,vynálezca a konštruktér banských čerpacích strojov,1758,ohňový čerpací stroj
Štefan Anián,Jedlík ,jedlik.jpg,11.01.1800,Zemné,12.12.1895,Ráb,vynálezca prvého elektromagnetu (elektromotora),1829,zostrojenie pohyblivého magnetu (elektromotor)
Štefan Anián,Jedlík ,jedlik.jpg,11.01.1800,Zemné,12.12.1895,Ráb,vynálezca prvého elektromagnetu (elektromotora),1861,typ unipolárneho dynama
Štefan Anián,Jedlík ,jedlik.jpg,11.01.1800,Zemné,12.12.1895,Ráb,vynálezca prvého elektromagnetu (elektromotora),1830,zariadenie na výrobu sódovej vody
Wolfgang ,Kempelen ,"kempelen,jpg",23.01.1734,Bratislava,26.03.1804,Viedeň (Rakúsko),vynálezca šachového automatu,1789,šachový automat
Wolfgang ,Kempelen ,"kempelen,jpg",23.01.1734,Bratislava,26.03.1804,Viedeň (Rakúsko),vynálezca šachového automatu,1791,hovoriaci stroj
Wolfgang ,Kempelen ,"kempelen,jpg",23.01.1734,Bratislava,26.03.1804,Viedeň (Rakúsko),vynálezca šachového automatu,1779,zariadenie na tlač textu pre nevidiacich
Wolfgang ,Kempelen ,"kempelen,jpg",23.01.1734,Bratislava,26.03.1804,Viedeň (Rakúsko),vynálezca šachového automatu,,"viaceré vodné stavby (čerpadlo na zásobovanie Bratislavského hradu vodu z Dunaja, vodomet v Schonbrunne, pontónový most v Bratislave, zavodňovacie zariadenie na Žitnom ostrove)"
Jozef ,Murgaš ,murgas.jpg,17.02.1864,Tajov,23.05.1929,Wilkes Barre (USA),vynálezca bezdrôtovej telegrafie,1909,bezdrôtová telegrafia
Jozef ,Murgaš ,murgas.jpg,17.02.1864,Tajov,23.05.1929,Wilkes Barre (USA),vynálezca bezdrôtovej telegrafie,1907,vlnomer
Jozef ,Murgaš ,murgas.jpg,17.02.1864,Tajov,23.05.1929,Wilkes Barre (USA),vynálezca bezdrôtovej telegrafie,1907,elektrický transformátor
Jozef ,Murgaš ,murgas.jpg,17.02.1864,Tajov,23.05.1929,Wilkes Barre (USA),vynálezca bezdrôtovej telegrafie,1908,zariadenie na výrobu elektormagnetických vĺn
Jozef ,Murgaš ,murgas.jpg,17.02.1864,Tajov,23.05.1929,Wilkes Barre (USA),vynálezca bezdrôtovej telegrafie,1909,detektor elektormagnetických vĺn
Jozef ,Murgaš ,murgas.jpg,17.02.1864,Tajov,23.05.1929,Wilkes Barre (USA),vynálezca bezdrôtovej telegrafie,1912,naviják na rybársky prút
Jozef Maximilián,Petzval ,petzval.jpg,06.01.1807,Spišská Belá,19.09.1891,Viedeň,"vynálezca fotografického objektívu, zakladateľ modernej optiky a fotografie,",1840,portrétový objektív
Jozef Maximilián,Petzval ,petzval.jpg,06.01.1807,Spišská Belá,19.09.1891,Viedeň,"vynálezca fotografického objektívu, zakladateľ modernej optiky a fotografie,",1840,achromatický trojšošovkový objektív s veľkou svetelnosťou
Jozef Maximilián,Petzval ,petzval.jpg,06.01.1807,Spišská Belá,19.09.1891,Viedeň,"vynálezca fotografického objektívu, zakladateľ modernej optiky a fotografie,",1841,prvý asférický objektív
Ján Andrej,Segner ,segner.jpg,09.10.1704,Bratislava,05.10.1777,Halle,praotec turbíny,1750,vodný motor – tzv. Segnerovo koleso
Aurel ,Stodola ,stodola.jpg,11.05.1859,Liptovský Mikuláš,25.12.1942,Zurich,konštruktér prvého tepelného čerpadla na svete,1928,"tepelné čerpadlo dodnes pracujúce vo Švajčiarsku, vykuruje radnicu v Ženeve s odoberaním tepla z vody jazera (ide o uzavretý okruh)"
Aurel ,Stodola ,stodola.jpg,11.05.1859,Liptovský Mikuláš,25.12.1942,Zurich,konštruktér prvého tepelného čerpadla na svete,1915,vynálezca pohyblivej umelej ruky (protéza)
Milan Rastislav,Štefánik,stefanik.jpg,21.07.1880,Košariská,04.05.1919,Ivanka pri Dunaji,vynálezca všeličoho,,"traky na nohavice, dáždnik, skladacia fajky, rýchlopalné delo, dilatačný teplomer"
Ján,Farkaš,farkas.jpg,30.04.1923,Modra,17.10.1999,Modra,"výskumník, vedúci tímu vinárov",1973,nealkoholický nápoj Vinea
Tadeáš,Wala,wala.jpg,27.01.1932,Prostřední Suchá,,,vynálezca bezmotorových a motorových lietadiel,2013,ultraľahké športové lietadlo Aerospool Dynamic WT9
Bohumil,Vančo,vanco.jpg,14.10.1907,Madunice,25.10.1990,Burbank (USA),vynálezca spätného širokouhlého zrkadla na auto,1955,spätné širokouhlé zrkadlo na auto
Bohumil,Vančo,vanco.jpg,14.10.1907,Madunice,25.10.1990,Burbank (USA),vynálezca spätného širokouhlého zrkadla na auto,1953,stereo prístroj na zobrazenie albumov
Bohumil,Vančo,vanco.jpg,14.10.1907,Madunice,25.10.1990,Burbank (USA),vynálezca spätného širokouhlého zrkadla na auto,1955,revolverové uchytenie 2 objektívov rôznej ohniskovej vzdialenosti pre fotografické prístroje
Karol,Leška,,02.04.1792,Dojč,01.12.1857,Csorna (Maďarsko),konštruktér pohyblivej miniatúru vesmíru,1845,"prístroj znázorňojúci obeh Zeme okolo Slnka, obeh mesiaca okolo Zeme, zároveň zobrazoval časový posun kalendára s cirkevnými sviatkami a meranie času v hodinách)"
Ladislav,Hudec,hudec.jpg,08.01.1883,Banská Bystrica,26.10.1958,Berkeley (USA),zo Slovenska pochádzajúci architekt pôsobiaci v Číne a v Spojených štátoch,1934,prvý mrakodrap v Číne
Ján,Dopjera,dopjera.jpg,06.07.1893,Stráže,03.01.1988,Grants Pass (USA),vynálezca rezonančnej gitary Dobro,1929,rezonančná gitara Dobro
